year,city,country,avg_temp
1835,Phoenix,United States,19.51
1836,Phoenix,United States,19.92
1837,Phoenix,United States,20.04
1838,Phoenix,United States,19.84
1839,Phoenix,United States,20.32
1840,Phoenix,United States,20.23
1841,Phoenix,United States,20.27
1842,Phoenix,United States,20.58
1843,Phoenix,United States,21.06
1844,Phoenix,United States,20.22
1845,Phoenix,United States,20.48
1846,Phoenix,United States,21.18
1847,Phoenix,United States,20.28
1848,Phoenix,United States,23.14
1849,Phoenix,United States,20.87
1850,Phoenix,United States,20.51
1851,Phoenix,United States,20.64
1852,Phoenix,United States,20.39
1853,Phoenix,United States,21.40
1854,Phoenix,United States,21.20
1855,Phoenix,United States,21.37
1856,Phoenix,United States,20.85
1857,Phoenix,United States,21.31
1858,Phoenix,United States,20.67
1859,Phoenix,United States,20.42
1860,Phoenix,United States,20.75
1861,Phoenix,United States,21.80
1862,Phoenix,United States,21.34
1863,Phoenix,United States,21.22
1864,Phoenix,United States,21.52
1865,Phoenix,United States,21.08
1866,Phoenix,United States,21.55
1867,Phoenix,United States,22.28
1868,Phoenix,United States,21.42
1869,Phoenix,United States,21.08
1870,Phoenix,United States,20.91
1871,Phoenix,United States,21.25
1872,Phoenix,United States,20.66
1873,Phoenix,United States,21.15
1874,Phoenix,United States,20.86
1875,Phoenix,United States,21.17
1876,Phoenix,United States,20.98
1877,Phoenix,United States,21.27
1878,Phoenix,United States,20.87
1879,Phoenix,United States,21.67
1880,Phoenix,United States,20.38
1881,Phoenix,United States,20.57
1882,Phoenix,United States,20.63
1883,Phoenix,United States,20.64
1884,Phoenix,United States,20.01
1885,Phoenix,United States,20.95
1886,Phoenix,United States,20.78
1887,Phoenix,United States,21.16
1888,Phoenix,United States,21.11
1889,Phoenix,United States,21.25
1890,Phoenix,United States,21.06
1891,Phoenix,United States,20.32
1892,Phoenix,United States,20.74
1893,Phoenix,United States,21.06
1894,Phoenix,United States,20.57
1895,Phoenix,United States,20.66
1896,Phoenix,United States,21.25
1897,Phoenix,United States,20.47
1898,Phoenix,United States,20.61
1899,Phoenix,United States,20.69
1900,Phoenix,United States,21.35
1901,Phoenix,United States,21.08
